series,title,author,year,original_language,translator,translation_year,translator_death,pg_id,ia_id,other_source,rights_status,rights_note,commercial_value,catalog_fit,visual_potential,differentiation,production_difficulty,direct_economics,amazon_economics,seo,bundle,score,batch,channel,note
Hayalet & Strange Tales,Kwaidan: Stories and Studies of Strange Things,Lafcadio Hearn,1904,en,,,,1210,,IA: kwaidanstoriesst00hearuoft,GREEN,"Hearn ö.1904 [V]. Takénouchi'nin 1904 plakaları: ölüm yılı DOĞRULANMADI → plakaları kullanma, özgün illüstrasyon",4,5,5,5,2,5,3,5,5,93.4,1,both,Batch 1-2 ACTIVE plan; yōkai saha rehberi ↔ Bestiarium
Mitoloji & Folklor (bölgesel derleme),Myths and Legends of China,E. T. C. Werner,1922,en,,,,15250,,,GREEN,US 1922 [V]; Werner ö.1954 → hayat+70 2025-01-01'de doldu → artık dünya genelinde GREEN [V],5,5,5,5,4,5,3,5,5,93.2,2,both,Batch 2 flagship (ACTIVE plan puanı 80.8); illüstrasyon + sözlük + kaynak notu
Oyunlar,Games Ancient and Oriental and How to Play Them,Edward Falkener,1892,en,,,,,gamesancientorie00falkuoft,IA: in.ernet.dli.2015.281418,GREEN,IA possible-copyright-status NOT_IN_COPYRIGHT [V]; Falkener ö.1896 [V]. PG kaydı YOK — iddia edilen PG numarası varsa sahtedir,4,5,5,5,4,5,4,4,5,89.8,1,both,"Batch 1-3 ACTIVE plan; her tahta yeniden çizilir, kurallar modernize edilir"
Bulmaca & Rekreasyonel Matematik,"The Canterbury Puzzles, and Other Curious Problems",Henry E. Dudeney,1907,en,,,,27635,,,GREEN,US 1907; Dudeney ö.1930 → hayat+70 2001'de doldu [V],4,5,4,5,3,5,3,4,5,88.8,1,both,"Batch 1-1 ACTIVE plan; Amusements ile tek seçki cilt; çözümler yeniden yazılır, diyagramlar yeniden çizilir"
Bulmaca & Rekreasyonel Matematik,Amusements in Mathematics,Henry E. Dudeney,1917,en,,,,16713,,,GREEN,US 1917; ö.1930 → 2001 [V],4,5,4,5,3,5,3,4,5,88.8,1,both,Batch 1-1'in ikinci kaynağı
Bulmaca & Rekreasyonel Matematik,"Sam Loyd's Cyclopedia of 5000 Puzzles, Tricks and Conundrums",Sam Loyd (derleyen Sam Loyd Jr.),1914,en,,,,,CyclopediaOfPuzzlesLoyd,,GREEN,"US 1914 [V]; Loyd ö.1911, Loyd Jr. ö.1934 → 2005 [A: ölüm yılı ikincil kaynak]",4,5,5,5,4,5,3,4,4,87.8,3,both,"Batch 3; 'en iyi 120 bulmaca' seçkisi; IA taraması ABBYY OCR'lı, diyagramlar yeniden çizilmeli"
Valice Classics (Stoa & Felsefe),The Enchiridion,Epictetus,125,grc,George Long,1877,1879,45109,,,GREEN,Long çevirisi; ö.1879 [V],4,5,2,4,1,5,2,5,5,86.8,2,both,Kitap 05: Enchiridion + Seçme Söylevler (Annotated); 'The Stoic Library' bundle'ı açar
Bestiary & Yaratık,Mythical Monsters,Charles Gould,1886,en,,,,40972,,,GREEN,Gould ö.1893 [V],4,5,5,4,3,4,2,5,5,86.4,3,both,Bestiarium'un en yakın PD atası; ejderha/deniz canavarı bölümleri
Bestiary & Yaratık,The History of Four-Footed Beasts and Serpents (1658),Edward Topsell,1658,en,,,,,historyoffourfoo00tops,IA (Wellcome): b10180023 — Tesseract 5.3 OCR,GREEN,1607/1658 [V]; tarama sahipliği: Wellcome görselleri CC BY 4.0 [A — doğrula]; erken modern imla → OCR ağır,4,5,5,5,5,4,3,5,4,85.6,3,both,Batch 3 (ACTIVE plan); seçki + modern imla + Bestiarium çapraz referans; gravürler yeniden çizilir
Bestiary & Yaratık,Dragons and Dragon Lore,Ernest Ingersoll,1928,en,,,,,,IA: identifier not confirmed,GREEN,US 1928 PD (2024) [V kural]; Ingersoll ö.1946 → 2017 [A]; KİMLİK DOĞRULANMADI,4,5,4,4,2,4,2,5,4,85.4,4,both,Ejderha cildi; kimlik doğrulanınca puanla
