"Slug","Title","Format","Channel","Availability","ASIN","Pages","Trim","Ink","ListUSD","PrintingCostUSD","NetPerUnitUSD","MarginPct","HasMasterFile","SpecEvidence"
"codex-bestiarium","Codex Bestiarium","ebook","direct","available","B0HDLS4W8Q","435","regular","bw","12.99","","11.84","91.2","true","01_SOURCE/book.json 'black and white'; 6x9 throughout docs"
"codex-bestiarium","Codex Bestiarium","paperback","amazon","available","B0HDLQHQ7H","435","regular","bw","24.99","6.22","8.77","35.1","false","01_SOURCE/book.json 'black and white'; 6x9 throughout docs"
"codex-bestiarium","Codex Bestiarium","hardcover","amazon","available","B0HDLLPG5M","435","regular","bw","37.99","10.87","11.92","31.4","false","01_SOURCE/book.json 'black and white'; 6x9 throughout docs"
"codex-bestiarium","Codex Bestiarium","large_print","amazon","available","B0HDLT1V3P","599","regular","bw","29.99","11.18","6.81","22.7","false","01_SOURCE/book.json 'black and white'; 6x9 throughout docs"
"codex-enigmatica","Codex Enigmatica","ebook","direct","available","B0HGRZ3BRC","274","regular","bw","9.99","","8.99","90.0","true","project_config.json ink:'black', trimClass:'regular'"
"codex-enigmatica","Codex Enigmatica","paperback","amazon","available","B0HGSVF15Q","274","regular","bw","19.99","4.29","7.71","38.5","false","project_config.json ink:'black', trimClass:'regular'"
"codex-enigmatica","Codex Enigmatica","hardcover","amazon","available","B0HH3B4HQ7","274","regular","bw","29.99","8.94","9.06","30.2","false","project_config.json ink:'black', trimClass:'regular'"
"codex-mythologica","Codex Mythologica","ebook","amazon","available","B0HD8121RR","329","regular","bw","4.99","","3.04","61.0","false","CASE_LAMINATE_6.000x9.000_329_BW_CREAM_en_US (KDP hardcover cover template filename)"
"codex-mythologica","Codex Mythologica","paperback","amazon","available","B0HCY8KY3X","329","regular","bw","21.99","4.95","8.25","37.5","false","CASE_LAMINATE_6.000x9.000_329_BW_CREAM_en_US (KDP hardcover cover template filename)"
"codex-mythologica","Codex Mythologica","hardcover","amazon","available","B0HDBFZRQ4","329","regular","bw","32.99","9.60","10.20","30.9","false","CASE_LAMINATE_6.000x9.000_329_BW_CREAM_en_US (KDP hardcover cover template filename)"
"codex-mythologica","Codex Mythologica","large_print","amazon","available","B0HDDR84MF","578","regular","bw","27.99","10.83","5.97","21.3","false","CASE_LAMINATE_6.000x9.000_329_BW_CREAM_en_US (KDP hardcover cover template filename)"
"korean-hangul-handwriting-workbook","Korean Hangul Handwriting Workbook","paperback","amazon","coming_soon","PENDING","124","large","bw","12.99","3.11","4.69","36.1","false","project_config.json 8.5x11in, founder-approved (DECISIONS K32)"
"korean-hangul-handwriting-workbook","Korean Hangul Handwriting Workbook","hardcover","amazon","coming_soon","PENDING","124","large","bw","21.99","7.76","5.44","24.7","false","project_config.json 8.5x11in, founder-approved (DECISIONS K32)"
"meditations","Meditations","ebook","direct","available","PENDING","148","regular","bw","9.99","","8.99","90.0","true","digital-only edition; no print edition exists"
"the-great-book-of-world-games","The Great Book of World Games","ebook","direct","available","B0HG44FH1B","160","large","bw","11.99","","10.89","90.8","true","project config ink:'black', trimClass:'large'"
"the-great-book-of-world-games","The Great Book of World Games","paperback","amazon","available","B0HG3KMK9L","160","large","bw","22.99","3.72","10.07","43.8","false","project config ink:'black', trimClass:'large'"
"the-great-book-of-world-games","The Great Book of World Games","hardcover","amazon","available","B0HG41F21F","160","large","bw","34.99","8.37","12.62","36.1","false","project config ink:'black', trimClass:'large'"
"the-great-book-of-world-myths","The Great Book of World Myths","ebook","direct","available","B0HDQRPKST","234","regular","bw","4.99","","4.24","85.0","true","config colorMode:'bw'; pageSize 432x648pt = 6x9in"
"the-great-book-of-world-myths","The Great Book of World Myths","paperback","amazon","available","B0HDTL5V2H","234","regular","bw","14.99","3.81","5.19","34.6","false","config colorMode:'bw'; pageSize 432x648pt = 6x9in"
"the-great-book-of-world-myths","The Great Book of World Myths","hardcover","amazon","available","B0HDZJ4PHQ","234","regular","bw","26.99","8.46","7.74","28.7","false","config colorMode:'bw'; pageSize 432x648pt = 6x9in"
"the-myth-hunters-field-book","The Myth Hunter's Field Book","paperback","amazon","available","B0HFP4KYX5","156","large","bw","14.99","3.65","5.34","35.6","false","project config ink:'black', trimClass:'large'"
"the-myth-hunters-field-book","The Myth Hunter's Field Book","hardcover","amazon","coming_soon","PENDING","156","large","bw","","","","","false","project config ink:'black', trimClass:'large'"
