"path","slot","entity","width","height","bytes","referenced_by"
"/images/about/about_hero_scene.webp","page-atmosphere","about/about_hero_scene","1844","853","150490","src/components/about/about-hero.tsx src/lib/asset-map.test.ts"
"/images/authors/authors_hero_atmosphere.webp","page-atmosphere","authors","1915","821","171498","src/app/authors/page.tsx src/components/about/founder-card.tsx src/components/authors/author-card-data.ts src/components/authors/author-portrait.tsx src/components/authors/authors-hero.tsx src/lib/asset-map.ts"
"/images/authors/henry-dudeney.webp","author-portrait","henry-dudeney","510","680","9320","src/app/authors/page.tsx src/components/about/founder-card.tsx src/components/authors/author-card-data.ts src/components/authors/author-portrait.tsx src/components/authors/authors-hero.tsx src/lib/asset-map.ts"
"/images/authors/marcus-aurelius.webp","author-portrait","marcus-aurelius","900","1200","66294","src/app/authors/page.tsx src/components/about/founder-card.tsx src/components/authors/author-card-data.ts src/components/authors/author-portrait.tsx src/components/authors/authors-hero.tsx src/lib/asset-map.ts"
"/images/blog/board-game-origin-myths.webp","blog-image","board-game-origin-myths","1800","1200","13822","src/components/article/article-hero.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts src/lib/blog.ts"
"/images/blog/designing-for-readers-not-algorithms.webp","blog-image","designing-for-readers-not-algorithms","1915","821","106626","src/components/article/article-hero.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts src/lib/blog.ts"
"/images/blog/haberdashers-puzzle.webp","blog-image","haberdashers-puzzle","1800","1200","32948","src/components/article/article-hero.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts src/lib/blog.ts"
"/images/blog/hangul-stroke-order.webp","blog-image","hangul-stroke-order","1800","1200","16192","src/components/article/article-hero.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts src/lib/blog.ts"
"/images/blog/how-to-choose-your-next-book.webp","blog-image","how-to-choose-your-next-book","1915","821","143844","src/components/article/article-hero.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts src/lib/blog.ts"
"/images/blog/why-we-built-valice-press.webp","blog-image","why-we-built-valice-press","1844","853","150490","src/components/article/article-hero.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts src/lib/blog.ts"
"/images/blog/world-mythology-traditions.webp","blog-image","world-mythology-traditions","1800","1200","146068","src/components/article/article-hero.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts src/lib/blog.ts"
"/images/books/codex-bestiarium.webp","book-cover","codex-bestiarium","1000","1600","229610","src/components/book-card.tsx src/components/book-detail/book-cover.tsx src/components/book-detail/book-hero.tsx src/components/catalog/catalog-book-card.tsx src/components/catalog/catalog-item.ts src/components/cinematic/cover-art.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts"
"/images/books/codex-enigmatica.webp","book-cover","codex-enigmatica","1067","1600","146696","src/components/book-card.tsx src/components/book-detail/book-cover.tsx src/components/book-detail/book-hero.tsx src/components/catalog/catalog-book-card.tsx src/components/catalog/catalog-item.ts src/components/cinematic/cover-art.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts"
"/images/books/codex-mythologica.webp","book-cover","codex-mythologica","992","1586","324324","src/components/book-card.tsx src/components/book-detail/book-cover.tsx src/components/book-detail/book-hero.tsx src/components/catalog/catalog-book-card.tsx src/components/catalog/catalog-item.ts src/components/cinematic/cover-art.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts"
"/images/books/korean-hangul-handwriting-workbook.webp","book-cover","korean-hangul-handwriting-workbook","1000","1600","111008","src/components/book-card.tsx src/components/book-detail/book-cover.tsx src/components/book-detail/book-hero.tsx src/components/catalog/catalog-book-card.tsx src/components/catalog/catalog-item.ts src/components/cinematic/cover-art.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts"
"/images/books/meditations.webp","book-cover","meditations","1024","1536","215192","src/components/book-card.tsx src/components/book-detail/book-cover.tsx src/components/book-detail/book-hero.tsx src/components/catalog/catalog-book-card.tsx src/components/catalog/catalog-item.ts src/components/cinematic/cover-art.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts"
"/images/books/the-great-book-of-world-games.webp","book-cover","the-great-book-of-world-games","1000","1600","148422","src/components/book-card.tsx src/components/book-detail/book-cover.tsx src/components/book-detail/book-hero.tsx src/components/catalog/catalog-book-card.tsx src/components/catalog/catalog-item.ts src/components/cinematic/cover-art.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts"
"/images/books/the-great-book-of-world-myths.webp","book-cover","the-great-book-of-world-myths","1066","1600","195296","src/components/book-card.tsx src/components/book-detail/book-cover.tsx src/components/book-detail/book-hero.tsx src/components/catalog/catalog-book-card.tsx src/components/catalog/catalog-item.ts src/components/cinematic/cover-art.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts"
"/images/books/the-myth-hunters-field-book.webp","book-cover","the-myth-hunters-field-book","925","1214","148438","src/components/book-card.tsx src/components/book-detail/book-cover.tsx src/components/book-detail/book-hero.tsx src/components/catalog/catalog-book-card.tsx src/components/catalog/catalog-item.ts src/components/cinematic/cover-art.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts"
"/images/books/the-puzzles-of-henry-dudeney.webp","book-cover","the-puzzles-of-henry-dudeney","1000","1600","36124","src/components/book-card.tsx src/components/book-detail/book-cover.tsx src/components/book-detail/book-hero.tsx src/components/catalog/catalog-book-card.tsx src/components/catalog/catalog-item.ts src/components/cinematic/cover-art.tsx src/lib/asset-map.test.ts src/lib/asset-map.ts"
"/images/homepage/homepage_hero_reading_room.webp","page-atmosphere","homepage/homepage_hero_reading_room","1122","1402","133844","src/components/cinematic/asset-image.tsx src/components/home/hero.tsx src/lib/asset-map.test.ts"
"/images/library/library_atmosphere.webp","page-atmosphere","library/library_atmosphere","1915","821","106626","src/components/library/library-empty-panel.tsx src/components/library/library-hero.tsx"
"/images/library/library_empty_scene.webp","page-atmosphere","library/library_empty_scene","1672","941","103588","src/components/library/library-empty-panel.tsx src/components/library/library-hero.tsx"
"/images/order/order_lantern_scene.webp","page-atmosphere","order/order_lantern_scene","1915","821","192688","src/components/account/orders-hero.tsx src/components/cinematic/asset-image.tsx src/components/order/order-hero.tsx"
"/images/previews/codex-bestiarium/p39.webp","book-preview","codex-bestiarium","900","1350","23904",""
"/images/previews/codex-bestiarium/p40.webp","book-preview","codex-bestiarium","900","1350","72384",""
"/images/previews/codex-bestiarium/p41.webp","book-preview","codex-bestiarium","900","1350","127904",""
"/images/previews/codex-bestiarium/p42.webp","book-preview","codex-bestiarium","900","1350","21826",""
"/images/previews/codex-enigmatica/p24.webp","book-preview","codex-enigmatica","900","1350","104200",""
"/images/previews/codex-enigmatica/p25.webp","book-preview","codex-enigmatica","900","1350","20766",""
"/images/previews/codex-enigmatica/p26.webp","book-preview","codex-enigmatica","900","1350","101486",""
"/images/previews/codex-enigmatica/p27.webp","book-preview","codex-enigmatica","900","1350","26928",""
"/images/previews/codex-mythologica/p24.webp","book-preview","codex-mythologica","900","1350","98972",""
"/images/previews/codex-mythologica/p25.webp","book-preview","codex-mythologica","900","1350","91570",""
"/images/previews/codex-mythologica/p26.webp","book-preview","codex-mythologica","900","1350","113112",""
"/images/previews/codex-mythologica/p27.webp","book-preview","codex-mythologica","900","1350","103148",""
"/images/previews/korean-hangul-handwriting-workbook/p13.webp","book-preview","korean-hangul-handwriting-workbook","1100","1424","67950",""
"/images/previews/korean-hangul-handwriting-workbook/p14.webp","book-preview","korean-hangul-handwriting-workbook","1100","1424","48186",""
"/images/previews/korean-hangul-handwriting-workbook/p15.webp","book-preview","korean-hangul-handwriting-workbook","1100","1424","30832",""
"/images/previews/korean-hangul-handwriting-workbook/p16.webp","book-preview","korean-hangul-handwriting-workbook","1100","1424","27058",""
"/images/previews/meditations/p21.webp","book-preview","meditations","900","1350","97848",""
"/images/previews/meditations/p22.webp","book-preview","meditations","900","1350","122028",""
"/images/previews/meditations/p23.webp","book-preview","meditations","900","1350","122696",""
"/images/previews/meditations/p24.webp","book-preview","meditations","900","1350","122196",""
"/images/previews/the-great-book-of-world-games/p16.webp","book-preview","the-great-book-of-world-games","1100","1424","109374",""
"/images/previews/the-great-book-of-world-games/p17.webp","book-preview","the-great-book-of-world-games","1100","1424","126740",""
"/images/previews/the-great-book-of-world-games/p18.webp","book-preview","the-great-book-of-world-games","1100","1424","80152",""
"/images/previews/the-great-book-of-world-games/p19.webp","book-preview","the-great-book-of-world-games","1100","1424","113526",""
"/images/previews/the-great-book-of-world-myths/p22.webp","book-preview","the-great-book-of-world-myths","900","1350","114710",""
