book,project,asin,format,current_amazon_state,companion_exists,companion_url,companion_value,printed_url_present,printed_urls,qr_present,amazon_back_matter,valice_reference,author_bio_correct,domain_correct,pdf_metadata_ok,page_count,kdp_linkage_status,decision,required_action,why,source_file,last_checked
"codex-mythologica","CODEX_MYTHOLOGICA","B0HCY8KY3X","paperback","live","yes","https://valicepress.com/companion/codex-mythologica","Reading companion · Theme index","no","","no","yes — “of the Amazons. She gave it to him willingly. Hera, in the form of an Amazon, ran through the camp shouting “He has come to steal her!”, and the w”","yes","approved","yes","yes","329","MISSING","next_revision","print https://valicepress.com/companion/codex-mythologica in the back matter","Three live print editions and the widest audience. The companion (reading companion + theme index) is live as of 2026-09-03; the interiors have no blank final page, so printing the URL adds a leaf and changes the spine. Do it on 2026-11-03 when the KDP Select term lapses and the interior is reopened for the direct edition anyway — one revision, two reasons.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_MYTHOLOGICA/04_PRINT/PAPERBACK/CODEX_MYTHOLOGICA_INTERIOR_PAPERBACK.pdf","2026-09-03"
"codex-mythologica","CODEX_MYTHOLOGICA","B0HDBFZRQ4","hardcover","live","yes","https://valicepress.com/companion/codex-mythologica","Reading companion · Theme index","no","","no","yes — “of the Amazons. She gave it to him willingly. Hera, in the form of an Amazon, ran through the camp shouting “He has come to steal her!”, and the w”","yes","approved","yes","yes","329","MISSING","next_revision","print https://valicepress.com/companion/codex-mythologica in the back matter","Three live print editions and the widest audience. The companion (reading companion + theme index) is live as of 2026-09-03; the interiors have no blank final page, so printing the URL adds a leaf and changes the spine. Do it on 2026-11-03 when the KDP Select term lapses and the interior is reopened for the direct edition anyway — one revision, two reasons.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_MYTHOLOGICA/04_PRINT/HARDCOVER/CODEX_MYTHOLOGICA_INTERIOR_HARDCOVER.pdf","2026-09-03"
"codex-mythologica","CODEX_MYTHOLOGICA","B0HDDR84MF","large_print","live","yes","https://valicepress.com/companion/codex-mythologica","Reading companion · Theme index","no","","no","yes — “of the Amazons. She gave it to him willingly. Hera, in the form of an Amazon, ran through the camp shouting “He has come to steal her!”, and the w”","yes","approved","yes","yes","578","MISSING","next_revision","print https://valicepress.com/companion/codex-mythologica in the back matter","Three live print editions and the widest audience. The companion (reading companion + theme index) is live as of 2026-09-03; the interiors have no blank final page, so printing the URL adds a leaf and changes the spine. Do it on 2026-11-03 when the KDP Select term lapses and the interior is reopened for the direct edition anyway — one revision, two reasons.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_MYTHOLOGICA/04_PRINT/LARGEPRINT/CODEX_MYTHOLOGICA_INTERIOR_LARGEPRINT.pdf","2026-09-03"
"codex-bestiarium","CODEX_BESTIARIUM","B0HDLQHQ7H","paperback","live","yes","https://valicepress.com/companion/codex-bestiarium","Motif index · Creature index · Kin chart · Traditions index","no","","no","yes — “down by something that belongs to the trees and is not human. In the Amazon the same figure is on the forest’s side, and it is not benign. A hunt”","yes","non-canonical","yes","yes","435","MISSING","next_revision","print https://valicepress.com/companion/codex-bestiarium in the back matter","The companion (motif, creature, kin and traditions indexes) is live as of 2026-09-03. The 435-page interiors end on a full sources page with no blank leaf; adding the URL adds a page and a new cover. Bundle with the '120 → 112' listing correction (handbook O4), which needs a KDP visit anyway.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_BESTIARIUM/04_PRINT/PAPERBACK/CODEX_BESTIARIUM_INTERIOR_PAPERBACK.pdf","2026-09-03"
"codex-bestiarium","CODEX_BESTIARIUM","B0HDLLPG5M","hardcover","live","yes","https://valicepress.com/companion/codex-bestiarium","Motif index · Creature index · Kin chart · Traditions index","no","","no","yes — “down by something that belongs to the trees and is not human. In the Amazon the same figure is on the forest’s side, and it is not benign. A hunt”","yes","non-canonical","yes","yes","435","MISSING","next_revision","print https://valicepress.com/companion/codex-bestiarium in the back matter","The companion (motif, creature, kin and traditions indexes) is live as of 2026-09-03. The 435-page interiors end on a full sources page with no blank leaf; adding the URL adds a page and a new cover. Bundle with the '120 → 112' listing correction (handbook O4), which needs a KDP visit anyway.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_BESTIARIUM/04_PRINT/HARDCOVER/CODEX_BESTIARIUM_INTERIOR_HARDCOVER.pdf","2026-09-03"
"codex-bestiarium","CODEX_BESTIARIUM","B0HDLT1V3P","large_print","live","yes","https://valicepress.com/companion/codex-bestiarium","Motif index · Creature index · Kin chart · Traditions index","no","","no","yes — “down by something that belongs to the trees and is not human. In the Amazon the same figure is on the forest’s side, and it is not benign. A hunt”","yes","non-canonical","yes","yes","599","MISSING","next_revision","print https://valicepress.com/companion/codex-bestiarium in the back matter","The companion (motif, creature, kin and traditions indexes) is live as of 2026-09-03. The 435-page interiors end on a full sources page with no blank leaf; adding the URL adds a page and a new cover. Bundle with the '120 → 112' listing correction (handbook O4), which needs a KDP visit anyway.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_BESTIARIUM/04_PRINT/LARGEPRINT/CODEX_BESTIARIUM_INTERIOR_LARGEPRINT.pdf","2026-09-03"
"the-great-book-of-world-myths","THE-GREAT-BOOK-OF-WORLD-MYTHS","B0HDTL5V2H","paperback","live","yes","https://valicepress.com/companion/world-myths","The world map, full size · Culture cards · Say these names · Who's who","yes","valicepress.com/companion/world-myths","yes","no","yes","approved","yes","yes","234","COMPLETE","update_now","none","The strongest companion case in the catalogue, and the cheapest interior: the map-note page (p. 233) was half empty and p. 234 blank, so the companion block and QR fit with the book still at 234 pages — interior swap only, covers untouched. The approved biography rides along on p. 231.","/home/emre/Downloads/MY-DİGİTAL-BOOK/THE-GREAT-BOOK-OF-WORLD-MYTHS/08_OUTPUT/paperback/interior.pdf","2026-09-03"
"the-great-book-of-world-myths","THE-GREAT-BOOK-OF-WORLD-MYTHS","B0HDZJ4PHQ","hardcover","live","yes","https://valicepress.com/companion/world-myths","The world map, full size · Culture cards · Say these names · Who's who","yes","valicepress.com/companion/world-myths","yes","no","yes","approved","yes","yes","234","COMPLETE","update_now","none","The strongest companion case in the catalogue, and the cheapest interior: the map-note page (p. 233) was half empty and p. 234 blank, so the companion block and QR fit with the book still at 234 pages — interior swap only, covers untouched. The approved biography rides along on p. 231.","/home/emre/Downloads/MY-DİGİTAL-BOOK/THE-GREAT-BOOK-OF-WORLD-MYTHS/08_OUTPUT/hardcover/interior.pdf","2026-09-03"
"the-great-book-of-world-games","THE-GREAT-BOOK-OF-WORLD-GAMES","B0HG3KMK9L","paperback","live","yes","https://valicepress.com/companion/world-games","Game index · Quick-reference cards · Score sheets · Boards pack","yes","valicepress.com/companion/world-games","no","no","yes","approved","yes","yes","160","COMPLETE","update_now","none","Paperback and hardcover rebuilt 2026-09-02 with the companion page on the blank final leaf, still 160 pages; waiting on the Founder's upload (handbook U1). The large print is in KDP review and is not touched until it is live.","/home/emre/Downloads/MY-DİGİTAL-BOOK/THE-GREAT-BOOK-OF-WORLD-GAMES/08_OUTPUT/PAPERBACK/GreatBookOfWorldGames_interior_paperback.pdf","2026-09-03"
"the-great-book-of-world-games","THE-GREAT-BOOK-OF-WORLD-GAMES","B0HG41F21F","hardcover","live","yes","https://valicepress.com/companion/world-games","Game index · Quick-reference cards · Score sheets · Boards pack","yes","valicepress.com/companion/world-games","no","no","yes","approved","yes","yes","160","COMPLETE","update_now","none","Paperback and hardcover rebuilt 2026-09-02 with the companion page on the blank final leaf, still 160 pages; waiting on the Founder's upload (handbook U1). The large print is in KDP review and is not touched until it is live.","/home/emre/Downloads/MY-DİGİTAL-BOOK/THE-GREAT-BOOK-OF-WORLD-GAMES/08_OUTPUT/HARDCOVER/GreatBookOfWorldGames_interior_hardcover.pdf","2026-09-03"
