book,project,asin,format,current_amazon_state,companion_exists,companion_url,companion_value,printed_url_present,printed_urls,companion_page,dedicated_companion_page,other_mention_pages,qr_present,qr_side_in,qr_percent_of_page_height,qr_module_mm,amazon_back_matter,valice_reference,author_bio_correct,domain_correct,pdf_metadata_ok,page_count_old,page_count_new,page_count_changed,spine_in_old,spine_in_new,cover_update_required,spine_update_required,rebuilt_cover_available,revised_interior,revision_reason,kdp_upload_required,proof_recommended,hold_reason,kdp_linkage_status,decision,required_action,why,source_file,evidence,last_checked
"codex-mythologica","CODEX_MYTHOLOGICA","B0HCY8KY3X","paperback","live","yes","https://valicepress.com/companion/codex-mythologica","Reading companion · Theme index","yes","valicepress.com/companion/codex-mythologica","330","yes","","yes","2.12","23.6","1.633","yes — “of the Amazons. She gave it to him willingly. Hera, in the form of an Amazon, ran through the camp shouting “He has come to steal her!”, and the w”","yes","approved","yes","yes","329","330","yes","0.8225","0.8250","rebuild correct (inside tolerance)","yes","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_MYTHOLOGICA/03_COVER/PAPERBACK/exports/","yes","","yes","yes","KDP Select runs to 2026-11-03 (handbook O5). On that date the interiors are reopened anyway so the ebook can be sold here; these files go up in the same pass. Pulling three live editions before then buys nothing.","COMPLETE","next_revision","none","Three live print editions and the widest audience. The companion (reading companion + theme index) is live as of 2026-09-03; the interiors have no blank final page, so printing the URL adds a leaf and changes the spine. Do it on 2026-11-03 when the KDP Select term lapses and the interior is reopened for the direct edition anyway — one revision, two reasons.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_MYTHOLOGICA/04_PRINT/PAPERBACK/CODEX_MYTHOLOGICA_INTERIOR_PAPERBACK.pdf","docs/execution/phase-5/kdp-packages/codex-mythologica/paperback/UPLOAD.md","2026-09-03"
"codex-mythologica","CODEX_MYTHOLOGICA","B0HDBFZRQ4","hardcover","live","yes","https://valicepress.com/companion/codex-mythologica","Reading companion · Theme index","yes","valicepress.com/companion/codex-mythologica","330","yes","","yes","2.12","23.6","1.633","yes — “of the Amazons. She gave it to him willingly. Hera, in the form of an Amazon, ran through the camp shouting “He has come to steal her!”, and the w”","yes","approved","yes","yes","329","330","yes","0.8225","0.8250","rebuild correct (inside tolerance)","yes","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_MYTHOLOGICA/03_COVER/HARDCOVER/exports/","yes","","yes","yes","KDP Select runs to 2026-11-03 (handbook O5). On that date the interiors are reopened anyway so the ebook can be sold here; these files go up in the same pass. Pulling three live editions before then buys nothing.","COMPLETE","next_revision","none","Three live print editions and the widest audience. The companion (reading companion + theme index) is live as of 2026-09-03; the interiors have no blank final page, so printing the URL adds a leaf and changes the spine. Do it on 2026-11-03 when the KDP Select term lapses and the interior is reopened for the direct edition anyway — one revision, two reasons.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_MYTHOLOGICA/04_PRINT/HARDCOVER/CODEX_MYTHOLOGICA_INTERIOR_HARDCOVER.pdf","docs/execution/phase-5/kdp-packages/codex-mythologica/hardcover/UPLOAD.md","2026-09-03"
"codex-mythologica","CODEX_MYTHOLOGICA","B0HDDR84MF","large_print","live","yes","https://valicepress.com/companion/codex-mythologica","Reading companion · Theme index","yes","valicepress.com/companion/codex-mythologica","579","yes","","yes","2.12","23.6","1.633","yes — “of the Amazons. She gave it to him willingly. Hera, in the form of an Amazon, ran through the camp shouting “He has come to steal her!”, and the w”","yes","approved","yes","yes","578","579","yes","1.4450","1.4475","rebuild correct (inside tolerance)","yes","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_MYTHOLOGICA/03_COVER/LARGEPRINT/exports/","yes","","yes","yes","KDP Select runs to 2026-11-03 (handbook O5). On that date the interiors are reopened anyway so the ebook can be sold here; these files go up in the same pass. Pulling three live editions before then buys nothing.","COMPLETE","next_revision","none","Three live print editions and the widest audience. The companion (reading companion + theme index) is live as of 2026-09-03; the interiors have no blank final page, so printing the URL adds a leaf and changes the spine. Do it on 2026-11-03 when the KDP Select term lapses and the interior is reopened for the direct edition anyway — one revision, two reasons.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_MYTHOLOGICA/04_PRINT/LARGEPRINT/CODEX_MYTHOLOGICA_INTERIOR_LARGEPRINT.pdf","docs/execution/phase-5/kdp-packages/codex-mythologica/large_print/UPLOAD.md","2026-09-03"
"codex-bestiarium","CODEX_BESTIARIUM","B0HDLQHQ7H","paperback","live","yes","https://valicepress.com/companion/codex-bestiarium","Motif index · Creature index · Kin chart · Traditions index","yes","valicepress.com/companion/codex-bestiarium","436","yes","","yes","2.08","23.1","1.597","yes — “down by something that belongs to the trees and is not human. In the Amazon the same figure is on the forest’s side, and it is not benign. A hunt”","yes","non-canonical","yes","yes","435","436","yes","1.0875","1.0900","rebuild correct (inside tolerance)","yes","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_BESTIARIUM/03_COVER/PAPERBACK/exports/","yes","","yes","yes","Four live listings whose 'Legendary Creatures' count still reads 120 and must read 112 (handbook O4). That correction needs a KDP visit for every edition anyway; this interior and its rebuilt cover ride along with it, one review cycle instead of two.","COMPLETE","next_revision","replace with the Founder's approved biography at the next revision (no false claim found)","The companion (motif, creature, kin and traditions indexes) is live as of 2026-09-03. The 435-page interiors end on a full sources page with no blank leaf; adding the URL adds a page and a new cover. Bundle with the '120 → 112' listing correction (handbook O4), which needs a KDP visit anyway.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_BESTIARIUM/04_PRINT/PAPERBACK/CODEX_BESTIARIUM_INTERIOR_PAPERBACK.pdf","docs/execution/phase-5/kdp-packages/codex-bestiarium/paperback/UPLOAD.md","2026-09-03"
"codex-bestiarium","CODEX_BESTIARIUM","B0HDLLPG5M","hardcover","live","yes","https://valicepress.com/companion/codex-bestiarium","Motif index · Creature index · Kin chart · Traditions index","yes","valicepress.com/companion/codex-bestiarium","436","yes","","yes","2.08","23.1","1.597","yes — “down by something that belongs to the trees and is not human. In the Amazon the same figure is on the forest’s side, and it is not benign. A hunt”","yes","non-canonical","yes","yes","435","436","yes","1.0875","1.0900","rebuild correct (inside tolerance)","yes","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_BESTIARIUM/03_COVER/HARDCOVER/exports/","yes","","yes","yes","Four live listings whose 'Legendary Creatures' count still reads 120 and must read 112 (handbook O4). That correction needs a KDP visit for every edition anyway; this interior and its rebuilt cover ride along with it, one review cycle instead of two.","COMPLETE","next_revision","replace with the Founder's approved biography at the next revision (no false claim found)","The companion (motif, creature, kin and traditions indexes) is live as of 2026-09-03. The 435-page interiors end on a full sources page with no blank leaf; adding the URL adds a page and a new cover. Bundle with the '120 → 112' listing correction (handbook O4), which needs a KDP visit anyway.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_BESTIARIUM/04_PRINT/HARDCOVER/CODEX_BESTIARIUM_INTERIOR_HARDCOVER.pdf","docs/execution/phase-5/kdp-packages/codex-bestiarium/hardcover/UPLOAD.md","2026-09-03"
"codex-bestiarium","CODEX_BESTIARIUM","B0HDLT1V3P","large_print","live","yes","https://valicepress.com/companion/codex-bestiarium","Motif index · Creature index · Kin chart · Traditions index","yes","valicepress.com/companion/codex-bestiarium","600","yes","","yes","2.08","23.1","1.597","yes — “down by something that belongs to the trees and is not human. In the Amazon the same figure is on the forest’s side, and it is not benign. A hunt”","yes","non-canonical","yes","yes","599","600","yes","1.4975","1.5000","rebuild correct (inside tolerance)","yes","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_BESTIARIUM/03_COVER/LARGEPRINT/exports/","yes","","yes","yes","Four live listings whose 'Legendary Creatures' count still reads 120 and must read 112 (handbook O4). That correction needs a KDP visit for every edition anyway; this interior and its rebuilt cover ride along with it, one review cycle instead of two.","COMPLETE","next_revision","replace with the Founder's approved biography at the next revision (no false claim found)","The companion (motif, creature, kin and traditions indexes) is live as of 2026-09-03. The 435-page interiors end on a full sources page with no blank leaf; adding the URL adds a page and a new cover. Bundle with the '120 → 112' listing correction (handbook O4), which needs a KDP visit anyway.","/home/emre/Downloads/MY-DİGİTAL-BOOK/CODEX_BESTIARIUM/04_PRINT/LARGEPRINT/CODEX_BESTIARIUM_INTERIOR_LARGEPRINT.pdf","docs/execution/phase-5/kdp-packages/codex-bestiarium/large_print/UPLOAD.md","2026-09-03"
"the-great-book-of-world-myths","THE-GREAT-BOOK-OF-WORLD-MYTHS","B0HDTL5V2H","paperback","live","yes","https://valicepress.com/companion/world-myths","The world map, full size · Culture cards · Say these names · Who's who","yes","valicepress.com/companion/world-myths","233","yes","","yes","2.069","23.0","1.594","no","yes","approved","yes","yes","234","234","no","0.5850","0.5850","no","no","not needed","yes","the half-page 'THE MAP, FULL SIZE' note of 2026-09-03 — a one-inch code low on the page with a caption beside it","yes","no","","COMPLETE","update_now","none","The strongest companion case in the catalogue, and the cheapest interior: the map-note page (p. 233) was half empty and p. 234 blank, so the companion block and QR fit with the book still at 234 pages — interior swap only, covers untouched. The approved biography rides along on p. 231.","/home/emre/Downloads/MY-DİGİTAL-BOOK/THE-GREAT-BOOK-OF-WORLD-MYTHS/08_OUTPUT/paperback/interior.pdf","docs/execution/phase-5/kdp-packages/the-great-book-of-world-myths/paperback/UPLOAD.md","2026-09-03"
"the-great-book-of-world-myths","THE-GREAT-BOOK-OF-WORLD-MYTHS","B0HDZJ4PHQ","hardcover","live","yes","https://valicepress.com/companion/world-myths","The world map, full size · Culture cards · Say these names · Who's who","yes","valicepress.com/companion/world-myths","233","yes","","yes","2.069","23.0","1.594","no","yes","approved","yes","yes","234","234","no","0.5850","0.5850","no","no","not needed","yes","the half-page 'THE MAP, FULL SIZE' note of 2026-09-03 — a one-inch code low on the page with a caption beside it","yes","no","","COMPLETE","update_now","none","The strongest companion case in the catalogue, and the cheapest interior: the map-note page (p. 233) was half empty and p. 234 blank, so the companion block and QR fit with the book still at 234 pages — interior swap only, covers untouched. The approved biography rides along on p. 231.","/home/emre/Downloads/MY-DİGİTAL-BOOK/THE-GREAT-BOOK-OF-WORLD-MYTHS/08_OUTPUT/hardcover/interior.pdf","docs/execution/phase-5/kdp-packages/the-great-book-of-world-myths/hardcover/UPLOAD.md","2026-09-03"
"the-great-book-of-world-games","THE-GREAT-BOOK-OF-WORLD-GAMES","B0HG3KMK9L","paperback","live","yes","https://valicepress.com/companion/world-games","Game index · Quick-reference cards · Score sheets · Boards pack","yes","valicepress.com/companion/world-games","160","yes","","yes","2.932","26.7","2.256","no","yes","approved","yes","yes","160","160","no","0.3603","0.3603","no","no","not needed","yes","the weak companion note of 2026-09-02 — a text block at the top of an otherwise empty page, no code","yes","no","","COMPLETE","update_now","none","Paperback and hardcover rebuilt 2026-09-02 with the companion page on the blank final leaf, still 160 pages; waiting on the Founder's upload (handbook U1). The large print is in KDP review and is not touched until it is live.","/home/emre/Downloads/MY-DİGİTAL-BOOK/THE-GREAT-BOOK-OF-WORLD-GAMES/08_OUTPUT/PAPERBACK/GreatBookOfWorldGames_interior_paperback.pdf","docs/execution/phase-5/kdp-packages/the-great-book-of-world-games/paperback/UPLOAD.md","2026-09-03"
"the-great-book-of-world-games","THE-GREAT-BOOK-OF-WORLD-GAMES","B0HG41F21F","hardcover","live","yes","https://valicepress.com/companion/world-games","Game index · Quick-reference cards · Score sheets · Boards pack","yes","valicepress.com/companion/world-games","160","yes","","yes","2.932","26.7","2.256","no","yes","approved","yes","yes","160","160","no","0.3603","0.3603","no","no","not needed","yes","the weak companion note of 2026-09-02 — a text block at the top of an otherwise empty page, no code","yes","no","","COMPLETE","update_now","none","Paperback and hardcover rebuilt 2026-09-02 with the companion page on the blank final leaf, still 160 pages; waiting on the Founder's upload (handbook U1). The large print is in KDP review and is not touched until it is live.","/home/emre/Downloads/MY-DİGİTAL-BOOK/THE-GREAT-BOOK-OF-WORLD-GAMES/08_OUTPUT/HARDCOVER/GreatBookOfWorldGames_interior_hardcover.pdf","docs/execution/phase-5/kdp-packages/the-great-book-of-world-games/hardcover/UPLOAD.md","2026-09-03"
