id,story,tradition,claim,type,confidence,source,location,status
C-001,1,Ancient Egypt · Heliopolis,The Egyptian primeval ocean is named Nun and precedes all else,PRIMARY SOURCE,HIGH,Breasted 1912,p. 10,
C-002,1,Ancient Egypt · Heliopolis,"Atum came into being of himself, not made by another",PRIMARY SOURCE,HIGH,Breasted 1912,p. 11,
C-003,1,Ancient Egypt · Heliopolis,At Heliopolis the sun-god appeared on the Benben stone in the Phoenix-hall,PRIMARY SOURCE,HIGH,Pyr. §1652 via Breasted,p. 11 n.2,
C-004,1,Ancient Egypt · Heliopolis,"Atum begat Shu and Tefnut by his own masculine power, self-developed",PRIMARY SOURCE,HIGH,"Pyr. §§1818, 1248 via Breasted",p. 11 n.3,
C-005,1,Ancient Egypt · Heliopolis,Shu separated earth from sky and continued to support the sky,PRIMARY SOURCE,HIGH,Pyr. §1778 via Breasted,pp. 10-11,
C-006,1,Ancient Egypt · Heliopolis,"Rival cosmogonies existed at other temples: Ptah shaping an egg, a lotus rising from the water",PRIMARY SOURCE,HIGH,Breasted 1912,p. 11,
C-007,1,Ancient Egypt · Heliopolis,The Egyptian words for tears and for people are near-homophones and the texts play on it,SECONDARY SCHOLARSHIP,MEDIUM,standard Egyptological observation,—,"FLAGGED — reported in the story as a pun the Egyptians made, not as an etymology"
C-008,1,Ancient Egypt · Heliopolis,"Egyptians expected Nun to return and cover the world again, leaving Atum alone",SECONDARY SCHOLARSHIP,MEDIUM,"Breasted 1912, on the Book of the Dead ch. 175",—,
C-009,1,Ancient Egypt · Heliopolis,The annual Nile flood shaped Egyptian comfort with cyclical inundation,EDITORIAL INTERPRETATION,LOW,—,—,"MARKED IN TEXT — the story asks 'perhaps because', not asserts"
C-010,1,Ancient Egypt · Heliopolis,"The Pyramid Texts were carved in sealed royal burial chambers at Saqqara from about 2350 BCE, beginning with the pyramid of Unas",SECONDARY SCHOLARSHIP,HIGH,standard Egyptology,—,
C-011,1,Ancient Egypt · Heliopolis,"They were funerary spells for the dead king, not narratives, and the cosmogony appears in them only incidentally",SECONDARY SCHOLARSHIP,HIGH,standard Egyptology; evident in Breasted's own presentation,—,
C-012,1,Ancient Egypt · Heliopolis,"Heliopolis, Memphis and Hermopolis maintained different cosmogonies which Egyptian religion never reconciled",SECONDARY SCHOLARSHIP,HIGH,Breasted 1912; standard Egyptology,Breasted p. 11,
C-013,1,Ancient Egypt · Heliopolis,"The Hermopolitan Ogdoad consists of four frog-headed gods and four snake-headed goddesses representing water, darkness, hiddenness and boundlessness",SECONDARY SCHOLARSHIP,HIGH,standard Egyptology,—,
C-014,1,Ancient Egypt · Heliopolis,"Breasted's developmental thesis, announced in his title, is no longer accepted and shaped his selection and ordering",EDITORIAL INTERPRETATION,—,—,—,"MARKED IN TEXT; the translations are kept and the frame dropped, and the story says so"
C-015,2,Archaic Greece,"Greek khaos derives from a verb meaning to gape or yawn and denotes a chasm, not disorder",SECONDARY SCHOLARSHIP,HIGH,standard Greek lexicography,—,
C-016,2,Archaic Greece,"Theogony names four primordials in order: Chaos, Earth, Tartarus, Eros",PRIMARY SOURCE,HIGH,Theogony 116-122,ll. 116-122,
C-017,2,Archaic Greece,Aether and Day are the children of Night and Erebos — light descends from dark,PRIMARY SOURCE,HIGH,Theogony 123-125,ll. 123-125,
C-018,2,Archaic Greece,"Earth bore Ouranos 'equal to herself, to cover her on every side'",PRIMARY SOURCE,HIGH,Theogony 126-128,ll. 126-128,
C-019,2,Archaic Greece,Ouranos pushed each child back into Gaia and would not let them into the light,PRIMARY SOURCE,HIGH,Theogony 154-160,ll. 154-160,
C-020,2,Archaic Greece,Kronos castrated Ouranos with a sickle of grey adamant made by Gaia,PRIMARY SOURCE,HIGH,Theogony 161-182,ll. 161-182,
C-021,2,Archaic Greece,Hesiod's derivation of 'Titans' from straining is a folk etymology,SECONDARY SCHOLARSHIP,HIGH,modern philology,—,
C-022,2,Archaic Greece,An anvil falls nine days from heaven to earth and nine more to Tartarus,PRIMARY SOURCE,HIGH,Theogony 722-725,ll. 722-725,
C-023,2,Archaic Greece,The world is opened rather than made — the separation is an injury,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT
C-024,2,Archaic Greece,"Hesiod is usually dated around 700 BCE, near the beginning of Greek alphabetic writing, and the Theogony is among the earliest surviving Greek texts",SECONDARY SCHOLARSHIP,HIGH,standard classical scholarship,—,
C-025,2,Archaic Greece,"Hesiod names himself, describes the Muses meeting him while he kept sheep on Helicon, and gives them a staff of laurel",PRIMARY SOURCE,HIGH,Theogony 22-34,ll. 22-34,
C-026,2,Archaic Greece,"Hesiod says his father left a failing merchant's trade at Cyme and settled at Ascra, which he describes as bad in winter and worse in summer",PRIMARY SOURCE,HIGH,Works and Days 633-640,ll. 633-640,
C-027,2,Archaic Greece,"Hesiod's Works and Days records a dispute with his brother Perses over their inheritance, decided against him by gift-taking lords",PRIMARY SOURCE,HIGH,"Works and Days 27-41, 213-224",—,
C-028,2,Archaic Greece,"Herodotus said Hesiod and Homer gave the Greeks the names, forms and functions of their gods",SECONDARY SCHOLARSHIP,HIGH,"Herodotus, Histories II.53",—,
C-029,2,Archaic Greece,"The Theogony's succession sequence proceeds by force, deception or mutilation at every transfer, and its author had lost an inheritance case",EDITORIAL INTERPRETATION,—,—,—,"MARKED IN TEXT — offered as a reading, not as a causal claim about composition"
C-030,2,Archaic Greece,Egypt maintains its separation by continuous effort (Shu) while Greece achieves its by a single act of damage,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — the story's comparative reading
C-031,3,Vedic and Brahmanic India,A Brāhmaṇa creation account opens 'At first the Universe was not anything' and has the non-existent resolve 'Let me be',PRIMARY SOURCE,MEDIUM,Mackenzie 1913,p. 100,FLAGGED — quoted at one remove; translator unnamed in the source
C-032,3,Vedic and Brahmanic India,The sequence runs fervour → smoke → fervour → fire → rays → cloud → sea,PRIMARY SOURCE,MEDIUM,Mackenzie 1913,p. 100,
C-033,3,Vedic and Brahmanic India,"Prajāpati rose from the waters and asked what purpose he was born for, from that which forms no support",PRIMARY SOURCE,MEDIUM,Mackenzie 1913,p. 100,
C-034,3,Vedic and Brahmanic India,"His tears became the earth; what he wiped away became air, and upward, sky",PRIMARY SOURCE,MEDIUM,Mackenzie 1913,p. 100,
C-035,3,Vedic and Brahmanic India,The text links arodīt (he wept) to rodasī (the two world-halves),TRADITIONAL ACCOUNT,HIGH,Mackenzie 1913,p. 100,The link is in the source and is a folk etymology; the story says both
C-036,3,Vedic and Brahmanic India,Tapas means both physical heat and the energy generated by ascetic effort,SECONDARY SCHOLARSHIP,HIGH,standard Indological usage,—,
C-037,3,Vedic and Brahmanic India,Ṛgveda 10.129 declines to say where the world came from,SECONDARY SCHOLARSHIP,HIGH,universally reported; text not consulted for this edition,—,NAMED NOT QUOTED — no PD translation obtainable
C-038,3,Vedic and Brahmanic India,Indian tradition preserved multiple creation accounts side by side without requiring a choice,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT
C-039,3,Vedic and Brahmanic India,"The Brahmanas are prose texts of roughly 900-600 BCE whose purpose is to explain the sacrifice, and their cosmogony is told to account for ritual acts",SECONDARY SCHOLARSHIP,HIGH,standard Indology,—,
C-040,3,Vedic and Brahmanic India,"Vedic oral transmission used word-by-word, paired and reversed recitation patterns designed to make errors audible, preserving texts over two millennia with exceptional fidelity",SECONDARY SCHOLARSHIP,HIGH,standard Indology,—,
C-041,3,Vedic and Brahmanic India,"No public-domain English Rgveda Book 10 was obtainable for this edition, so the Nasadiya Sukta is named and never quoted",EDITORIAL INTERPRETATION,—,"this book's source register, correction C-1",—,MARKED IN TEXT and recorded as correction C-1
C-042,3,Vedic and Brahmanic India,Egyptian plurality of cosmogonies is geographical while Indian plurality is held within a single canon,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — the story's comparative reading
C-043,4,Zoroastrian Iran,"'Light was above and darkness below, and between those two was open space'",PRIMARY SOURCE,HIGH,Zādsparam I.1 via West,"SBE V, p. 155",
C-044,4,Zoroastrian Iran,Ohrmazd knew Ahriman existed; Ahriman did not know Ohrmazd existed,PRIMARY SOURCE,HIGH,Zādsparam I.2; Bundahishn I.8-9,"SBE V, pp. 155, 4",
C-045,4,Zoroastrian Iran,"Creatures remained 3,000 years in a spiritual state, unthinking and unmoving, with intangible bodies",PRIMARY SOURCE,HIGH,Bundahishn I.8,"SBE V, p. 4",
C-046,4,Zoroastrian Iran,"Ahriman, walking the border, saw a ray of light and strove toward it",PRIMARY SOURCE,HIGH,Zādsparam I.3,"SBE V, p. 156",
C-047,4,Zoroastrian Iran,Ohrmazd drove him back 'through pure words',PRIMARY SOURCE,HIGH,Zādsparam I.4,"SBE V, p. 156",
C-048,4,Zoroastrian Iran,"Ohrmazd answered 'Thou art not a doer of everything, O fiend'",PRIMARY SOURCE,HIGH,Zādsparam I.7,"SBE V, p. 156",
C-049,4,Zoroastrian Iran,"The conflict was fixed by agreement at 9,000 years, of which the middle 3,000 favour Ahriman",PRIMARY SOURCE,HIGH,West's introduction summarising Bundahishn I,"SBE V, p. xxiii",
C-050,4,Zoroastrian Iran,"The six creations damaged: movement in the sky, saltness in water, mountains in earth, withering in plants, death of the primeval ox, death of Gayōmard",PRIMARY SOURCE,HIGH,West's introduction summarising Bundahishn,"SBE V, p. xxiii",
C-051,4,Zoroastrian Iran,Matter is a tactic — the material creation exists so the enemy can be caught in a bounded arena,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT; consistent with the standard reading of Zoroastrian cosmology
C-052,4,Zoroastrian Iran,The Bundahishn was compiled in the ninth century CE in Pahlavi from older Avestan material much of which is lost,SECONDARY SCHOLARSHIP,HIGH,West's introduction; standard Iranian studies,"SBE V, introduction",
C-053,4,Zoroastrian Iran,"The surviving Avesta is a fragment of a larger corpus, and Zoroastrian tradition records its destruction",SECONDARY SCHOLARSHIP,HIGH,standard Iranian studies,—,"The tradition's accounts of the destructions are reported as tradition, not as established event history"
C-054,4,Zoroastrian Iran,"Zoroastrianism was the Sasanian state religion; after the Arab conquests of the mid-seventh century its adherents became a shrinking minority, and the great Pahlavi books were written in that period",SECONDARY SCHOLARSHIP,HIGH,standard history,—,
C-055,4,Zoroastrian Iran,West's translation appeared in 1880 as volume V of Max Müller's fifty-volume Sacred Books of the East,PRIMARY SOURCE,HIGH,the volume itself,SBE V title page,
C-056,4,Zoroastrian Iran,"Zoroastrianism is a living religion of a few hundred thousand adherents, chiefly Parsis in India and Zoroastrians in Iran and the diaspora",SECONDARY SCHOLARSHIP,HIGH,standard reference,—,
C-057,4,Zoroastrian Iran,"Iran's is the only strict dualism in the book, and the only cosmogony in which the material world is created as a tactical arena",EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — the story's comparative reading
C-058,5,Māori · Aotearoa,Māori cosmogony is recited as a genealogy in which the stages before the world are ancestors,PRIMARY SOURCE,HIGH,Dixon 1916; Grey 1855,Dixon pp. 6-7,
C-059,5,Māori · Aotearoa,"Nine named voids precede the nights, including Te Kore-whiwhia (Unpossessing) and Te Kore-rawea (Delightful)",PRIMARY SOURCE,HIGH,Dixon 1916,p. 6,
C-060,5,Māori · Aotearoa,"The nights are named and differ: Hanging, Drifting, Moaning; and Hine-maki-moe, Daughter of Troubled Sleep, stands among them",PRIMARY SOURCE,HIGH,Dixon 1916,p. 6,
C-061,5,Māori · Aotearoa,"The sequence ends Te Ata (Dawn), Te Ao-tū-roa (Abiding Day), Te Ao-mārama (Bright Day), Whai-tua (Space)",PRIMARY SOURCE,HIGH,Dixon 1916,pp. 6-7,
C-062,5,Māori · Aotearoa,"In Whai-tua, Maku (Moisture) and Mahora-nui-a-rangi produced Rangi-pōtiki, who took Papa to wife",PRIMARY SOURCE,HIGH,Dixon 1916,p. 7,
C-063,5,Māori · Aotearoa,"Grey records darkness from the first division of time to the thousandth, each division a being called a Pō",PRIMARY SOURCE,HIGH,Grey 1855,opening of 'The Children of Heaven and Earth',
C-064,5,Māori · Aotearoa,"Whakapapa reckons relationships to land, people and the natural world by descent, and the cosmogony is the top of the recitation",SECONDARY SCHOLARSHIP,HIGH,standard Māori-studies description,—,
C-065,5,Māori · Aotearoa,"The void is an ancestor rather than an enemy, unlike Nun in Egypt",EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — this is the story's comparative reading
C-066,5,Māori · Aotearoa,"Grey was Governor of New Zealand 1845-1853 and 1861-1868, arriving three years after the Treaty of Waitangi",SECONDARY SCHOLARSHIP,HIGH,standard history,—,
C-067,5,Māori · Aotearoa,Grey published the Māori text as Ko nga Mahinga a nga Tupuna Maori in 1854 and his English as Polynesian Mythology in 1855,SECONDARY SCHOLARSHIP,HIGH,standard bibliography,—,
C-068,5,Māori · Aotearoa,"Grey said he undertook the collection because he could not conduct government business with Māori leaders without understanding their allusions, proverbs and genealogies",PRIMARY SOURCE,HIGH,Grey's preface to Polynesian Mythology,preface,
C-069,5,Māori · Aotearoa,Grey's second term coincided with the New Zealand Wars and the land confiscations that followed,SECONDARY SCHOLARSHIP,HIGH,standard history,—,
C-070,5,Māori · Aotearoa,Māori scholars have long criticised Grey's versions for combining accounts from different sources into continuous narratives without marking the joins,SECONDARY SCHOLARSHIP,HIGH,standard Māori-studies criticism,—,
C-071,5,Māori · Aotearoa,Dixon compiled Oceanic Mythology from other collectors' work and names neither the recorder nor the reciter of the genealogy used here,PRIMARY SOURCE,HIGH,Dixon 1916,pp. 6-7,
C-072,5,Māori · Aotearoa,"Hesiod's Theogony and Māori whakapapa are both descent lists beginning from a non-person, but Hesiod's terminates in the gods while whakapapa continues to the speaker",EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — the story's comparative reading
C-073,6,Babylonia,The poem opens by saying heaven was unnamed and earth unrecorded by name,PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. V, first tablet ll. 1-2",
C-074,6,Babylonia,The same tablet couples being called by name with destiny being fixed,PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. V, first tablet l. 8",
C-075,6,Babylonia,In Babylonian thought naming confers function and destiny rather than merely labelling,SECONDARY SCHOLARSHIP,HIGH,standard Assyriological reading of Enuma Elis I.1-9,—,"The couplet is in the source; the generalisation about Babylonian thought is scholarship and is presented as an explanation, not as a quotation"
C-076,6,Babylonia,The boundless deep is called their generator and the sea she who bore the whole of them,PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. V, first tablet ll. 3-4",
C-077,6,Babylonia,Apsu is specifically the fresh subterranean water and Tiamat the salt sea,SECONDARY SCHOLARSHIP,HIGH,"modern Assyriology; NOT in Smith, who glosses Apsu as 'the ocean' and 'the deep'",Smith ch. III n.4; ch. IV table,FLAGGED IN THE SOURCE NOTE — the story's title rests on this later reading and the note says so
C-078,6,Babylonia,Their waters were collected together in one place,PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. V, first tablet l. 5",
C-079,6,Babylonia,The absence named in the poem is that the flowering reed was not gathered and the marsh-plant was not grown,PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. V, first tablet l. 6",
C-080,6,Babylonia,The confluence of the Tigris and Euphrates with the Gulf is a marsh landscape where fresh and salt water mingle without a clear coastline,EDITORIAL INTERPRETATION,—,—,—,Geographical observation offered to explain the imagery; the story presents it as such
C-081,6,Babylonia,"The gods are produced in male-and-female pairs: Lakhmu and Lakhamu, then Sar and Kisar (upper and lower expanse), then Anu, Elum and Hea",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. V, first tablet ll. 9-15 and commentary",
C-082,6,Babylonia,"Smith identifies Anu with heaven, Elum with earth and Hea with the sea",SECONDARY SCHOLARSHIP,HIGH,Smith/Sayce 1880,ch. V commentary,
C-083,6,Babylonia,"Only fifteen lines of the first tablet survive, and the three tablets between it and the fifth were entirely missing",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,ch. V,
C-084,6,Babylonia,"Anu kissed the bow, addressed it, and made it the protection of mankind",PRIMARY SOURCE,MEDIUM,Smith/Sayce 1880,"ch. VI, fourth fragment K 3449 ll. 4-9",Smith translates 'with some doubt on account of its mutilation' and says so
C-085,6,Babylonia,The scimitar is sickle-shaped and appears as Marduk's weapon on cylinders and bas-reliefs,SECONDARY SCHOLARSHIP,HIGH,Smith/Sayce 1880,ch. VI commentary,
C-086,6,Babylonia,Kingu is named in the war fragments but his role cannot be reconstructed from them,PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. VI, third fragment K 3938 l. 12 and sixth fragment reverse l. 35",The story says only that the fragments name him and break off; Smith's own gloss that Tiamat took a god as husband is his inference and is reported as such
C-087,6,Babylonia,"Tiamat stands at the head of the seven evil spirits, who elsewhere swoop from mid-heaven and eclipse the moon",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. VI, the sixteenth tablet of the evil-spirit series and Smith's linking comment",
C-088,6,Babylonia,"Marduk hurled the lightning before him, heat filled his body, and he created and launched the winds into the sea",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. VI, sixth fragment obverse ll. 4-13",
C-089,6,Babylonia,"Tiamat used spells, grounded her foundations at the roots, and determined return",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. VI, sixth fragment reverse ll. 4-7",
C-090,6,Babylonia,"She opened her mouth to swallow him; the evil wind held it open, filled her stomach, and the sword cut her inside asunder and ended her life",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. VI, sixth fragment reverse ll. 11-19",
C-091,6,Babylonia,Berosus reports that the god cut the woman Omoroka asunder and formed the earth of one half and the heavens of the other,PRIMARY SOURCE,HIGH,"Berosus via Alexander Polyhistor, reprinted by Smith",ch. III,"Greek summary of a lost Babylonian book, at three removes; the story says it is changing witness"
C-092,6,Babylonia,"Berosus reports that the god's own blood was mixed with earth to make human beings, which is why they are rational",PRIMARY SOURCE,HIGH,"Berosus via Alexander Polyhistor, reprinted by Smith",ch. III,
C-093,6,Babylonia,"The fifth tablet has Anu fix the stars in mansions, set three stars to each of the twelve months, and establish a station so that they might not err or deflect",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. V, fifth tablet ll. 1-8",
C-094,6,Babylonia,"Great gates in the sides of the world are bolted on the left and right, with a staircase in the centre",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. V, fifth tablet ll. 9-11",
C-095,6,Babylonia,"The moon is given month-by-month instructions in the second person, ending 'rise and set, and judge judgment'",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. V, fifth tablet ll. 12-24",
C-096,6,Babylonia,"A four-line fragment, probably the seventh tablet, has the gods create the strong monsters, living creatures, cattle, beasts and creeping things of the field",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,ch. V,
